Sent Digits,Encoded Words,Received Loss Errors
"(1, 2)",HV0,"['000', '0V0', 'H00']"
"(2, 1)",V0H,"['000', '00H', 'V00']"
"(4, 1, 7, 2, 12)",V000HV000000H0V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '000000000000H0000000000000', '000000000000H0V00000000000', '00000V00000000000000000000', '00000V00000000V00000000000', '00000V000000H0000000000000', '00000V000000H0V00000000000', '0000H000000000000000000000', '0000H000000000V00000000000', '0000H0000000H0000000000000', '0000H0000000H0V00000000000', '0000HV00000000000000000000', '0000HV00000000V00000000000', '0000HV000000H0000000000000', '0000HV000000H0V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V00000000000H0000000000000', 'V00000000000H0V00000000000', 'V0000V00000000000000000000', 'V0000V00000000V00000000000', 'V0000V000000H0000000000000', 'V0000V000000H0V00000000000', 'V000H000000000000000000000', 'V000H000000000V00000000000', 'V000H0000000H0000000000000', 'V000H0000000H0V00000000000', 'V000HV00000000000000000000', 'V000HV00000000V00000000000', 'V000HV000000H0000000000000']"
"(4, 1, 7, 12, 2)",V000HH000000V00000000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '000000000000V0000000000000', '000000000000V00000000000V0', '00000H00000000000000000000', '00000H000000000000000000V0', '00000H000000V0000000000000', '00000H000000V00000000000V0', '0000H000000000000000000000', '0000H0000000000000000000V0', '0000H0000000V0000000000000', '0000H0000000V00000000000V0', '0000HH00000000000000000000', '0000HH000000000000000000V0', '0000HH000000V0000000000000', '0000HH000000V00000000000V0', 'V0000000000000000000000000', 'V00000000000000000000000V0', 'V00000000000V0000000000000', 'V00000000000V00000000000V0', 'V0000H00000000000000000000', 'V0000H000000000000000000V0', 'V0000H000000V0000000000000', 'V0000H000000V00000000000V0', 'V000H000000000000000000000', 'V000H0000000000000000000V0', 'V000H0000000V0000000000000', 'V000H0000000V00000000000V0', 'V000HH00000000000000000000', 'V000HH000000000000000000V0', 'V000HH000000V0000000000000']"
"(4, 1, 12, 2, 7)",V000HV00000000000H0V000000,"['00000000000000000000000000', '0000000000000000000V000000', '00000000000000000H00000000', '00000000000000000H0V000000', '00000V00000000000000000000', '00000V0000000000000V000000', '00000V00000000000H00000000', '00000V00000000000H0V000000', '0000H000000000000000000000', '0000H00000000000000V000000', '0000H000000000000H00000000', '0000H000000000000H0V000000', '0000HV00000000000000000000', '0000HV0000000000000V000000', '0000HV00000000000H00000000', '0000HV00000000000H0V000000', 'V0000000000000000000000000', 'V000000000000000000V000000', 'V0000000000000000H00000000', 'V0000000000000000H0V000000', 'V0000V00000000000000000000', 'V0000V0000000000000V000000', 'V0000V00000000000H00000000', 'V0000V00000000000H0V000000', 'V000H000000000000000000000', 'V000H00000000000000V000000', 'V000H000000000000H00000000', 'V000H000000000000H0V000000', 'V000HV00000000000000000000', 'V000HV0000000000000V000000', 'V000HV00000000000H00000000']"
"(4, 1, 12, 7, 2)",V000HV00000000000V000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000V00000000', '00000000000000000V000000V0', '00000V00000000000000000000', '00000V000000000000000000V0', '00000V00000000000V00000000', '00000V00000000000V000000V0', '0000H000000000000000000000', '0000H0000000000000000000V0', '0000H000000000000V00000000', '0000H000000000000V000000V0', '0000HV00000000000000000000', '0000HV000000000000000000V0', '0000HV00000000000V00000000', '0000HV00000000000V000000V0', 'V0000000000000000000000000', 'V00000000000000000000000V0', 'V0000000000000000V00000000', 'V0000000000000000V000000V0', 'V0000V00000000000000000000', 'V0000V000000000000000000V0', 'V0000V00000000000V00000000', 'V0000V00000000000V000000V0', 'V000H000000000000000000000', 'V000H0000000000000000000V0', 'V000H000000000000V00000000', 'V000H000000000000V000000V0', 'V000HV00000000000000000000', 'V000HV000000000000000000V0', 'V000HV00000000000V00000000']"
"(4, 2, 1, 7, 12)",V000V0HH000000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '000000H0000000000000000000', '000000H0000000V00000000000', '000000HH000000000000000000', '000000HH000000V00000000000', '0000V000000000000000000000', '0000V000000000V00000000000', '0000V00H000000000000000000', '0000V00H000000V00000000000', '0000V0H0000000000000000000', '0000V0H0000000V00000000000', '0000V0HH000000000000000000', '0000V0HH000000V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000H000000000000000000', 'V000000H000000V00000000000', 'V00000H0000000000000000000', 'V00000H0000000V00000000000', 'V00000HH000000000000000000', 'V00000HH000000V00000000000', 'V000V000000000000000000000', 'V000V000000000V00000000000', 'V000V00H000000000000000000', 'V000V00H000000V00000000000', 'V000V0H0000000000000000000', 'V000V0H0000000V00000000000', 'V000V0HH000000000000000000']"
"(4, 2, 1, 12, 7)",V000V0HV00000000000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '0000000V000000000000000000', '0000000V00000000000V000000', '000000H0000000000000000000', '000000H000000000000V000000', '000000HV000000000000000000', '000000HV00000000000V000000', '0000V000000000000000000000', '0000V00000000000000V000000', '0000V00V000000000000000000', '0000V00V00000000000V000000', '0000V0H0000000000000000000', '0000V0H000000000000V000000', '0000V0HV000000000000000000', '0000V0HV00000000000V000000', 'V0000000000000000000000000', 'V000000000000000000V000000', 'V000000V000000000000000000', 'V000000V00000000000V000000', 'V00000H0000000000000000000', 'V00000H000000000000V000000', 'V00000HV000000000000000000', 'V00000HV00000000000V000000', 'V000V000000000000000000000', 'V000V00000000000000V000000', 'V000V00V000000000000000000', 'V000V00V00000000000V000000', 'V000V0H0000000000000000000', 'V000V0H000000000000V000000', 'V000V0HV000000000000000000']"
"(4, 2, 7, 1, 12)",V000H0V000000HV00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000000H000000000000', '0000000000000HV00000000000', '000000V0000000000000000000', '000000V0000000V00000000000', '000000V000000H000000000000', '000000V000000HV00000000000', '0000H000000000000000000000', '0000H000000000V00000000000', '0000H00000000H000000000000', '0000H00000000HV00000000000', '0000H0V0000000000000000000', '0000H0V0000000V00000000000', '0000H0V000000H000000000000', '0000H0V000000HV00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000000000H000000000000', 'V000000000000HV00000000000', 'V00000V0000000000000000000', 'V00000V0000000V00000000000', 'V00000V000000H000000000000', 'V00000V000000HV00000000000', 'V000H000000000000000000000', 'V000H000000000V00000000000', 'V000H00000000H000000000000', 'V000H00000000HV00000000000', 'V000H0V0000000000000000000', 'V000H0V0000000V00000000000', 'V000H0V000000H000000000000']"
"(4, 2, 7, 12, 1)",V000H0H000000V00000000000H,"['00000000000000000000000000', '0000000000000000000000000H', '0000000000000V000000000000', '0000000000000V00000000000H', '000000H0000000000000000000', '000000H000000000000000000H', '000000H000000V000000000000', '000000H000000V00000000000H', '0000H000000000000000000000', '0000H00000000000000000000H', '0000H00000000V000000000000', '0000H00000000V00000000000H', '0000H0H0000000000000000000', '0000H0H000000000000000000H', '0000H0H000000V000000000000', '0000H0H000000V00000000000H', 'V0000000000000000000000000', 'V000000000000000000000000H', 'V000000000000V000000000000', 'V000000000000V00000000000H', 'V00000H0000000000000000000', 'V00000H000000000000000000H', 'V00000H000000V000000000000', 'V00000H000000V00000000000H', 'V000H000000000000000000000', 'V000H00000000000000000000H', 'V000H00000000V000000000000', 'V000H00000000V00000000000H', 'V000H0H0000000000000000000', 'V000H0H000000000000000000H', 'V000H0H000000V000000000000']"
"(4, 2, 12, 1, 7)",V000H0V00000000000HV000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000000H0000000', '000000000000000000HV000000', '000000V0000000000000000000', '000000V000000000000V000000', '000000V00000000000H0000000', '000000V00000000000HV000000', '0000H000000000000000000000', '0000H00000000000000V000000', '0000H0000000000000H0000000', '0000H0000000000000HV000000', '0000H0V0000000000000000000', '0000H0V000000000000V000000', '0000H0V00000000000H0000000', '0000H0V00000000000HV000000', 'V0000000000000000000000000', 'V000000000000000000V000000', 'V00000000000000000H0000000', 'V00000000000000000HV000000', 'V00000V0000000000000000000', 'V00000V000000000000V000000', 'V00000V00000000000H0000000', 'V00000V00000000000HV000000', 'V000H000000000000000000000', 'V000H00000000000000V000000', 'V000H0000000000000H0000000', 'V000H0000000000000HV000000', 'V000H0V0000000000000000000', 'V000H0V000000000000V000000', 'V000H0V00000000000H0000000']"
"(4, 2, 12, 7, 1)",V000H0V00000000000V000000H,"['00000000000000000000000000', '0000000000000000000000000H', '000000000000000000V0000000', '000000000000000000V000000H', '000000V0000000000000000000', '000000V000000000000000000H', '000000V00000000000V0000000', '000000V00000000000V000000H', '0000H000000000000000000000', '0000H00000000000000000000H', '0000H0000000000000V0000000', '0000H0000000000000V000000H', '0000H0V0000000000000000000', '0000H0V000000000000000000H', '0000H0V00000000000V0000000', '0000H0V00000000000V000000H', 'V0000000000000000000000000', 'V000000000000000000000000H', 'V00000000000000000V0000000', 'V00000000000000000V000000H', 'V00000V0000000000000000000', 'V00000V000000000000000000H', 'V00000V00000000000V0000000', 'V00000V00000000000V000000H', 'V000H000000000000000000000', 'V000H00000000000000000000H', 'V000H0000000000000V0000000', 'V000H0000000000000V000000H', 'V000H0V0000000000000000000', 'V000H0V000000000000000000H', 'V000H0V00000000000V0000000']"
"(4, 7, 1, 2, 12)",H000V000000HH0V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '000000000000H0000000000000', '000000000000H0V00000000000', '00000000000H00000000000000', '00000000000H00V00000000000', '00000000000HH0000000000000', '00000000000HH0V00000000000', '0000V000000000000000000000', '0000V000000000V00000000000', '0000V0000000H0000000000000', '0000V0000000H0V00000000000', '0000V000000H00000000000000', '0000V000000H00V00000000000', '0000V000000HH0000000000000', '0000V000000HH0V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H00000000000H0000000000000', 'H00000000000H0V00000000000', 'H0000000000H00000000000000', 'H0000000000H00V00000000000', 'H0000000000HH0000000000000', 'H0000000000HH0V00000000000', 'H000V000000000000000000000', 'H000V000000000V00000000000', 'H000V0000000H0000000000000', 'H000V0000000H0V00000000000', 'H000V000000H00000000000000', 'H000V000000H00V00000000000', 'H000V000000HH0000000000000']"
"(4, 7, 1, 12, 2)",H000V000000HV00000000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '000000000000V0000000000000', '000000000000V00000000000V0', '00000000000H00000000000000', '00000000000H000000000000V0', '00000000000HV0000000000000', '00000000000HV00000000000V0', '0000V000000000000000000000', '0000V0000000000000000000V0', '0000V0000000V0000000000000', '0000V0000000V00000000000V0', '0000V000000H00000000000000', '0000V000000H000000000000V0', '0000V000000HV0000000000000', '0000V000000HV00000000000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H00000000000V0000000000000', 'H00000000000V00000000000V0', 'H0000000000H00000000000000', 'H0000000000H000000000000V0', 'H0000000000HV0000000000000', 'H0000000000HV00000000000V0', 'H000V000000000000000000000', 'H000V0000000000000000000V0', 'H000V0000000V0000000000000', 'H000V0000000V00000000000V0', 'H000V000000H00000000000000', 'H000V000000H000000000000V0', 'H000V000000HV0000000000000']"
"(4, 7, 2, 1, 12)",H000V000000V0HV00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000000H000000000000', '0000000000000HV00000000000', '00000000000V00000000000000', '00000000000V00V00000000000', '00000000000V0H000000000000', '00000000000V0HV00000000000', '0000V000000000000000000000', '0000V000000000V00000000000', '0000V00000000H000000000000', '0000V00000000HV00000000000', '0000V000000V00000000000000', '0000V000000V00V00000000000', '0000V000000V0H000000000000', '0000V000000V0HV00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000000000H000000000000', 'H000000000000HV00000000000', 'H0000000000V00000000000000', 'H0000000000V00V00000000000', 'H0000000000V0H000000000000', 'H0000000000V0HV00000000000', 'H000V000000000000000000000', 'H000V000000000V00000000000', 'H000V00000000H000000000000', 'H000V00000000HV00000000000', 'H000V000000V00000000000000', 'H000V000000V00V00000000000', 'H000V000000V0H000000000000']"
"(4, 7, 2, 12, 1)",H000V000000H0V00000000000H,"['00000000000000000000000000', '0000000000000000000000000H', '0000000000000V000000000000', '0000000000000V00000000000H', '00000000000H00000000000000', '00000000000H0000000000000H', '00000000000H0V000000000000', '00000000000H0V00000000000H', '0000V000000000000000000000', '0000V00000000000000000000H', '0000V00000000V000000000000', '0000V00000000V00000000000H', '0000V000000H00000000000000', '0000V000000H0000000000000H', '0000V000000H0V000000000000', '0000V000000H0V00000000000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H000000000000V000000000000', 'H000000000000V00000000000H', 'H0000000000H00000000000000', 'H0000000000H0000000000000H', 'H0000000000H0V000000000000', 'H0000000000H0V00000000000H', 'H000V000000000000000000000', 'H000V00000000000000000000H', 'H000V00000000V000000000000', 'H000V00000000V00000000000H', 'H000V000000H00000000000000', 'H000V000000H0000000000000H', 'H000V000000H0V000000000000']"
"(4, 7, 12, 1, 2)",H000H000000V00000000000HV0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000000000H00', '00000000000000000000000HV0', '00000000000V00000000000000', '00000000000V000000000000V0', '00000000000V00000000000H00', '00000000000V00000000000HV0', '0000H000000000000000000000', '0000H0000000000000000000V0', '0000H000000000000000000H00', '0000H000000000000000000HV0', '0000H000000V00000000000000', '0000H000000V000000000000V0', '0000H000000V00000000000H00', '0000H000000V00000000000HV0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000000000H00', 'H0000000000000000000000HV0', 'H0000000000V00000000000000', 'H0000000000V000000000000V0', 'H0000000000V00000000000H00', 'H0000000000V00000000000HV0', 'H000H000000000000000000000', 'H000H0000000000000000000V0', 'H000H000000000000000000H00', 'H000H000000000000000000HV0', 'H000H000000V00000000000000', 'H000H000000V000000000000V0', 'H000H000000V00000000000H00']"
"(4, 7, 12, 2, 1)",H000H000000V00000000000V0H,"['00000000000000000000000000', '0000000000000000000000000H', '00000000000000000000000V00', '00000000000000000000000V0H', '00000000000V00000000000000', '00000000000V0000000000000H', '00000000000V00000000000V00', '00000000000V00000000000V0H', '0000H000000000000000000000', '0000H00000000000000000000H', '0000H000000000000000000V00', '0000H000000000000000000V0H', '0000H000000V00000000000000', '0000H000000V0000000000000H', '0000H000000V00000000000V00', '0000H000000V00000000000V0H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H0000000000000000000000V00', 'H0000000000000000000000V0H', 'H0000000000V00000000000000', 'H0000000000V0000000000000H', 'H0000000000V00000000000V00', 'H0000000000V00000000000V0H', 'H000H000000000000000000000', 'H000H00000000000000000000H', 'H000H000000000000000000V00', 'H000H000000000000000000V0H', 'H000H000000V00000000000000', 'H000H000000V0000000000000H', 'H000H000000V00000000000V00']"
"(4, 12, 1, 2, 7)",H000V00000000000HH0V000000,"['00000000000000000000000000', '0000000000000000000V000000', '00000000000000000H00000000', '00000000000000000H0V000000', '0000000000000000H000000000', '0000000000000000H00V000000', '0000000000000000HH00000000', '0000000000000000HH0V000000', '0000V000000000000000000000', '0000V00000000000000V000000', '0000V000000000000H00000000', '0000V000000000000H0V000000', '0000V00000000000H000000000', '0000V00000000000H00V000000', '0000V00000000000HH00000000', '0000V00000000000HH0V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H0000000000000000H00000000', 'H0000000000000000H0V000000', 'H000000000000000H000000000', 'H000000000000000H00V000000', 'H000000000000000HH00000000', 'H000000000000000HH0V000000', 'H000V000000000000000000000', 'H000V00000000000000V000000', 'H000V000000000000H00000000', 'H000V000000000000H0V000000', 'H000V00000000000H000000000', 'H000V00000000000H00V000000', 'H000V00000000000HH00000000']"
"(4, 12, 1, 7, 2)",H000V00000000000HV000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000V00000000', '00000000000000000V000000V0', '0000000000000000H000000000', '0000000000000000H0000000V0', '0000000000000000HV00000000', '0000000000000000HV000000V0', '0000V000000000000000000000', '0000V0000000000000000000V0', '0000V000000000000V00000000', '0000V000000000000V000000V0', '0000V00000000000H000000000', '0000V00000000000H0000000V0', '0000V00000000000HV00000000', '0000V00000000000HV000000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000V00000000', 'H0000000000000000V000000V0', 'H000000000000000H000000000', 'H000000000000000H0000000V0', 'H000000000000000HV00000000', 'H000000000000000HV000000V0', 'H000V000000000000000000000', 'H000V0000000000000000000V0', 'H000V000000000000V00000000', 'H000V000000000000V000000V0', 'H000V00000000000H000000000', 'H000V00000000000H0000000V0', 'H000V00000000000HV00000000']"
"(4, 12, 2, 1, 7)",H000V00000000000V0HV000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000000H0000000', '000000000000000000HV000000', '0000000000000000V000000000', '0000000000000000V00V000000', '0000000000000000V0H0000000', '0000000000000000V0HV000000', '0000V000000000000000000000', '0000V00000000000000V000000', '0000V0000000000000H0000000', '0000V0000000000000HV000000', '0000V00000000000V000000000', '0000V00000000000V00V000000', '0000V00000000000V0H0000000', '0000V00000000000V0HV000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H00000000000000000H0000000', 'H00000000000000000HV000000', 'H000000000000000V000000000', 'H000000000000000V00V000000', 'H000000000000000V0H0000000', 'H000000000000000V0HV000000', 'H000V000000000000000000000', 'H000V00000000000000V000000', 'H000V0000000000000H0000000', 'H000V0000000000000HV000000', 'H000V00000000000V000000000', 'H000V00000000000V00V000000', 'H000V00000000000V0H0000000']"
"(4, 12, 2, 7, 1)",H000V00000000000H0V000000H,"['00000000000000000000000000', '0000000000000000000000000H', '000000000000000000V0000000', '000000000000000000V000000H', '0000000000000000H000000000', '0000000000000000H00000000H', '0000000000000000H0V0000000', '0000000000000000H0V000000H', '0000V000000000000000000000', '0000V00000000000000000000H', '0000V0000000000000V0000000', '0000V0000000000000V000000H', '0000V00000000000H000000000', '0000V00000000000H00000000H', '0000V00000000000H0V0000000', '0000V00000000000H0V000000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H00000000000000000V0000000', 'H00000000000000000V000000H', 'H000000000000000H000000000', 'H000000000000000H00000000H', 'H000000000000000H0V0000000', 'H000000000000000H0V000000H', 'H000V000000000000000000000', 'H000V00000000000000000000H', 'H000V0000000000000V0000000', 'H000V0000000000000V000000H', 'H000V00000000000H000000000', 'H000V00000000000H00000000H', 'H000V00000000000H0V0000000']"
"(4, 12, 7, 1, 2)",H000V00000000000V000000HV0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000000000H00', '00000000000000000000000HV0', '0000000000000000V000000000', '0000000000000000V0000000V0', '0000000000000000V000000H00', '0000000000000000V000000HV0', '0000V000000000000000000000', '0000V0000000000000000000V0', '0000V000000000000000000H00', '0000V000000000000000000HV0', '0000V00000000000V000000000', '0000V00000000000V0000000V0', '0000V00000000000V000000H00', '0000V00000000000V000000HV0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000000000H00', 'H0000000000000000000000HV0', 'H000000000000000V000000000', 'H000000000000000V0000000V0', 'H000000000000000V000000H00', 'H000000000000000V000000HV0', 'H000V000000000000000000000', 'H000V0000000000000000000V0', 'H000V000000000000000000H00', 'H000V000000000000000000HV0', 'H000V00000000000V000000000', 'H000V00000000000V0000000V0', 'H000V00000000000V000000H00']"
"(4, 12, 7, 2, 1)",H000V00000000000V000000V0H,"['00000000000000000000000000', '0000000000000000000000000H', '00000000000000000000000V00', '00000000000000000000000V0H', '0000000000000000V000000000', '0000000000000000V00000000H', '0000000000000000V000000V00', '0000000000000000V000000V0H', '0000V000000000000000000000', '0000V00000000000000000000H', '0000V000000000000000000V00', '0000V000000000000000000V0H', '0000V00000000000V000000000', '0000V00000000000V00000000H', '0000V00000000000V000000V00', '0000V00000000000V000000V0H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H0000000000000000000000V00', 'H0000000000000000000000V0H', 'H000000000000000V000000000', 'H000000000000000V00000000H', 'H000000000000000V000000V00', 'H000000000000000V000000V0H', 'H000V000000000000000000000', 'H000V00000000000000000000H', 'H000V000000000000000000V00', 'H000V000000000000000000V0H', 'H000V00000000000V000000000', 'H000V00000000000V00000000H', 'H000V00000000000V000000V00']"
"(7, 1, 2, 4, 12)",V000000HH0H000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000H000000000000000', '0000000000H000V00000000000', '00000000H00000000000000000', '00000000H00000V00000000000', '00000000H0H000000000000000', '00000000H0H000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '0000000H00H000000000000000', '0000000H00H000V00000000000', '0000000HH00000000000000000', '0000000HH00000V00000000000', '0000000HH0H000000000000000', '0000000HH0H000V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000000H000000000000000', 'V000000000H000V00000000000', 'V0000000H00000000000000000', 'V0000000H00000V00000000000', 'V0000000H0H000000000000000', 'V0000000H0H000V00000000000', 'V000000H000000000000000000', 'V000000H000000V00000000000', 'V000000H00H000000000000000', 'V000000H00H000V00000000000', 'V000000HH00000000000000000', 'V000000HH00000V00000000000', 'V000000HH0H000000000000000']"
"(7, 1, 2, 12, 4)",V000000HH0V00000000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '0000000000V000000000000000', '0000000000V00000000000V000', '00000000H00000000000000000', '00000000H0000000000000V000', '00000000H0V000000000000000', '00000000H0V00000000000V000', '0000000H000000000000000000', '0000000H00000000000000V000', '0000000H00V000000000000000', '0000000H00V00000000000V000', '0000000HH00000000000000000', '0000000HH0000000000000V000', '0000000HH0V000000000000000', '0000000HH0V00000000000V000', 'V0000000000000000000000000', 'V000000000000000000000V000', 'V000000000V000000000000000', 'V000000000V00000000000V000', 'V0000000H00000000000000000', 'V0000000H0000000000000V000', 'V0000000H0V000000000000000', 'V0000000H0V00000000000V000', 'V000000H000000000000000000', 'V000000H00000000000000V000', 'V000000H00V000000000000000', 'V000000H00V00000000000V000', 'V000000HH00000000000000000', 'V000000HH0000000000000V000', 'V000000HH0V000000000000000']"
"(7, 1, 4, 2, 12)",V000000HV000H0V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '000000000000H0000000000000', '000000000000H0V00000000000', '00000000V00000000000000000', '00000000V00000V00000000000', '00000000V000H0000000000000', '00000000V000H0V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '0000000H0000H0000000000000', '0000000H0000H0V00000000000', '0000000HV00000000000000000', '0000000HV00000V00000000000', '0000000HV000H0000000000000', '0000000HV000H0V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V00000000000H0000000000000', 'V00000000000H0V00000000000', 'V0000000V00000000000000000', 'V0000000V00000V00000000000', 'V0000000V000H0000000000000', 'V0000000V000H0V00000000000', 'V000000H000000000000000000', 'V000000H000000V00000000000', 'V000000H0000H0000000000000', 'V000000H0000H0V00000000000', 'V000000HV00000000000000000', 'V000000HV00000V00000000000', 'V000000HV000H0000000000000']"
"(7, 1, 4, 12, 2)",V000000HH000V00000000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '000000000000V0000000000000', '000000000000V00000000000V0', '00000000H00000000000000000', '00000000H000000000000000V0', '00000000H000V0000000000000', '00000000H000V00000000000V0', '0000000H000000000000000000', '0000000H0000000000000000V0', '0000000H0000V0000000000000', '0000000H0000V00000000000V0', '0000000HH00000000000000000', '0000000HH000000000000000V0', '0000000HH000V0000000000000', '0000000HH000V00000000000V0', 'V0000000000000000000000000', 'V00000000000000000000000V0', 'V00000000000V0000000000000', 'V00000000000V00000000000V0', 'V0000000H00000000000000000', 'V0000000H000000000000000V0', 'V0000000H000V0000000000000', 'V0000000H000V00000000000V0', 'V000000H000000000000000000', 'V000000H0000000000000000V0', 'V000000H0000V0000000000000', 'V000000H0000V00000000000V0', 'V000000HH00000000000000000', 'V000000HH000000000000000V0', 'V000000HH000V0000000000000']"
"(7, 1, 12, 2, 4)",V000000HV00000000000H0V000,"['00000000000000000000000000', '0000000000000000000000V000', '00000000000000000000H00000', '00000000000000000000H0V000', '00000000V00000000000000000', '00000000V0000000000000V000', '00000000V00000000000H00000', '00000000V00000000000H0V000', '0000000H000000000000000000', '0000000H00000000000000V000', '0000000H000000000000H00000', '0000000H000000000000H0V000', '0000000HV00000000000000000', '0000000HV0000000000000V000', '0000000HV00000000000H00000', '0000000HV00000000000H0V000', 'V0000000000000000000000000', 'V000000000000000000000V000', 'V0000000000000000000H00000', 'V0000000000000000000H0V000', 'V0000000V00000000000000000', 'V0000000V0000000000000V000', 'V0000000V00000000000H00000', 'V0000000V00000000000H0V000', 'V000000H000000000000000000', 'V000000H00000000000000V000', 'V000000H000000000000H00000', 'V000000H000000000000H0V000', 'V000000HV00000000000000000', 'V000000HV0000000000000V000', 'V000000HV00000000000H00000']"
"(7, 1, 12, 4, 2)",V000000HV00000000000V000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000000V00000', '00000000000000000000V000V0', '00000000V00000000000000000', '00000000V000000000000000V0', '00000000V00000000000V00000', '00000000V00000000000V000V0', '0000000H000000000000000000', '0000000H0000000000000000V0', '0000000H000000000000V00000', '0000000H000000000000V000V0', '0000000HV00000000000000000', '0000000HV000000000000000V0', '0000000HV00000000000V00000', '0000000HV00000000000V000V0', 'V0000000000000000000000000', 'V00000000000000000000000V0', 'V0000000000000000000V00000', 'V0000000000000000000V000V0', 'V0000000V00000000000000000', 'V0000000V000000000000000V0', 'V0000000V00000000000V00000', 'V0000000V00000000000V000V0', 'V000000H000000000000000000', 'V000000H0000000000000000V0', 'V000000H000000000000V00000', 'V000000H000000000000V000V0', 'V000000HV00000000000000000', 'V000000HV000000000000000V0', 'V000000HV00000000000V00000']"
"(7, 2, 1, 4, 12)",V000000V0HH000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000H000000000000000', '0000000000H000V00000000000', '000000000H0000000000000000', '000000000H0000V00000000000', '000000000HH000000000000000', '000000000HH000V00000000000', '0000000V000000000000000000', '0000000V000000V00000000000', '0000000V00H000000000000000', '0000000V00H000V00000000000', '0000000V0H0000000000000000', '0000000V0H0000V00000000000', '0000000V0HH000000000000000', '0000000V0HH000V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000000H000000000000000', 'V000000000H000V00000000000', 'V00000000H0000000000000000', 'V00000000H0000V00000000000', 'V00000000HH000000000000000', 'V00000000HH000V00000000000', 'V000000V000000000000000000', 'V000000V000000V00000000000', 'V000000V00H000000000000000', 'V000000V00H000V00000000000', 'V000000V0H0000000000000000', 'V000000V0H0000V00000000000', 'V000000V0HH000000000000000']"
"(7, 2, 1, 12, 4)",V000000V0HV00000000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '0000000000V000000000000000', '0000000000V00000000000V000', '000000000H0000000000000000', '000000000H000000000000V000', '000000000HV000000000000000', '000000000HV00000000000V000', '0000000V000000000000000000', '0000000V00000000000000V000', '0000000V00V000000000000000', '0000000V00V00000000000V000', '0000000V0H0000000000000000', '0000000V0H000000000000V000', '0000000V0HV000000000000000', '0000000V0HV00000000000V000', 'V0000000000000000000000000', 'V000000000000000000000V000', 'V000000000V000000000000000', 'V000000000V00000000000V000', 'V00000000H0000000000000000', 'V00000000H000000000000V000', 'V00000000HV000000000000000', 'V00000000HV00000000000V000', 'V000000V000000000000000000', 'V000000V00000000000000V000', 'V000000V00V000000000000000', 'V000000V00V00000000000V000', 'V000000V0H0000000000000000', 'V000000V0H000000000000V000', 'V000000V0HV000000000000000']"
